S.No,Duty Cycle (%),Input Current (Iin) (A),Input Voltage (Vin) (V),Input Power (Pin) (W),Output Current (Io) (A),Output Voltage (Vo) (V),Output Power (Po) (W)
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
